Probe Name;20240604_30103010090426-01_Sample01_01.RCC;20240604_30103010090426-01_Sample02_02.RCC;20240604_30103010090426-01_Sample04_04.RCC;20240604_30103010090426-01_Sample06_06.RCC;20240604_30103010090426-01_Sample07_07.RCC;20240604_30103010090426-01_Sample08_08.RCC;20240604_30103010090426-01_Sample09_09.RCC;20240604_30103010090426-01_Sample10_10.RCC;20240604_30103010090426-01_Sample11_11.RCC;20240604_30103010090426-01_Sample12_12.RCC
hsa-let-7a-5p;173;158;157;208;146;111;165;179;290;156
hsa-let-7b-5p;238;765;358;737;443;262;696;364;707;666
hsa-let-7c-5p;28;47;36;48;39;34;42;40;46;39
hsa-let-7d-5p;32;64;41;70;54;68;55;59;66;50
hsa-let-7e-5p;22;28;33;27;16;21;18;17;31;24
hsa-let-7f-5p;43;58;42;53;48;43;43;43;41;40
hsa-let-7g-5p;124;176;137;110;169;113;203;107;209;191
hsa-let-7i-5p;1;1;1;1;1;1;1;1;1;1
hsa-miR-1-3p;46;57;45;40;46;34;43;36;37;37
hsa-miR-1-5p;31;37;29;33;48;42;37;29;21;38
hsa-miR-100-5p;46;39;36;27;48;35;28;39;34;30
hsa-miR-101-3p;36;35;32;23;28;24;34;25;24;26
hsa-miR-103a-3p;39;33;35;33;40;28;28;40;21;31
hsa-miR-105-5p;38;89;45;59;44;66;44;54;40;33
hsa-miR-106a-5p?miR-17-5p;80;210;114;240;104;85;190;92;272;166
hsa-miR-106b-5p;35;85;62;42;83;47;79;37;113;89
hsa-miR-107;138;103;135;116;139;104;131;113;100;97
hsa-miR-10a-5p;49;45;43;46;48;23;38;40;39;37
hsa-miR-10b-5p;34;41;37;39;33;21;28;28;34;35
hsa-miR-1178-3p;47;43;28;37;48;31;34;41;34;25
hsa-miR-1180-3p;34;56;42;47;52;36;44;35;37;40
hsa-miR-1183;133;162;136;141;150;129;145;127;131;109
hsa-miR-1185-1-3p;30;33;30;25;18;22;31;30;26;26
hsa-miR-1185-2-3p;27;31;29;25;24;30;28;28;13;21
hsa-miR-1185-5p;31;38;44;38;33;40;37;32;20;29
hsa-miR-1193;15;25;16;18;21;18;22;22;19;17
hsa-miR-1197;38;33;30;30;37;25;15;23;17;27
hsa-miR-1200;24;21;21;30;15;17;19;24;10;20
hsa-miR-1202;22;27;20;18;18;17;20;29;13;12
hsa-miR-1203;37;28;28;21;38;30;29;20;22;19
hsa-miR-1204;14;29;17;22;23;26;16;16;13;15
hsa-miR-1205;26;26;21;19;31;10;24;12;10;10
hsa-miR-1206;19;24;36;18;18;26;21;21;22;23
hsa-miR-122-5p;92;282;309;1221;189;108;216;3259;116;559
hsa-miR-1224-3p;29;28;36;23;22;44;31;40;12;17
hsa-miR-1224-5p;31;44;29;32;31;42;19;23;28;19
hsa-miR-1226-3p;27;33;22;21;41;32;33;27;22;20
hsa-miR-1228-3p;25;28;31;23;26;27;35;27;13;19
hsa-miR-1233-3p;23;45;21;31;40;27;19;24;17;18
hsa-miR-1234-3p;35;27;32;38;28;21;28;30;17;31
hsa-miR-1236-3p;30;31;24;24;34;25;31;21;21;23
hsa-miR-124-3p;33;70;31;43;32;52;32;31;34;26
hsa-miR-1244;25;32;26;28;36;31;26;24;18;23
hsa-miR-1245a;17;14;18;11;22;11;16;13;12;11
hsa-miR-1245b-3p;20;47;29;25;28;39;29;18;14;21
hsa-miR-1245b-5p;39;40;30;44;34;47;28;35;31;37
hsa-miR-1246;88;103;114;113;117;154;151;202;708;870
hsa-miR-1247-5p;22;44;24;21;27;36;24;19;19;20
hsa-miR-1248;29;59;26;37;33;51;34;32;36;33
hsa-miR-1249-3p;23;29;29;28;21;12;23;29;23;14
hsa-miR-1249-5p;25;26;21;20;26;15;13;24;12;15
hsa-miR-1250-5p;19;16;21;26;15;12;24;18;13;16
hsa-miR-1252-5p;18;26;18;19;21;16;22;19;19;10
hsa-miR-1253;80;121;151;164;189;141;127;106;124;178
hsa-miR-1254;17;33;22;11;27;25;27;14;20;4
hsa-miR-1255a;31;40;38;32;38;35;30;32;28;30
hsa-miR-1255b-5p;29;32;40;34;44;36;45;26;23;36
hsa-miR-1257;43;35;34;23;32;37;26;25;30;25
hsa-miR-1258;28;30;31;26;26;25;31;21;23;26
hsa-miR-125a-3p;28;27;30;29;41;25;31;24;26;25
hsa-miR-125a-5p;21;29;22;22;29;28;19;21;34;14
hsa-miR-125b-5p;36;43;39;42;46;42;40;48;35;60
hsa-miR-126-3p;388;489;495;516;409;292;391;284;591;424
hsa-miR-1260a;18;20;21;17;17;15;24;21;20;20
hsa-miR-1260b;16;24;15;22;17;22;24;20;16;9
hsa-miR-1261;31;36;30;22;29;29;27;25;20;30
