REF,GSM1302403,GSM1302404,GSM1302405,GSM1302406,GSM1302407,GSM1302408,GSM1302409,GSM1302410,GSM1302411
hsa-let-7a-2-3p,654.368000047765,641.763999943306,733.450999950026,714.215000191882,785.493000201838,643.131999777535,789.492999817287,598.424000024664,1004.61799989175
hsa-let-7a-3p,1566.29199947354,1233.40300414221,800.638999743214,789.972000184442,1411.23599643384,845.18099996345,814.860999776085,1521.56899659605,824.166999759109
hsa-let-7a-5p,715.861000097921,838.472000059898,763.318999946071,690.902999986019,827.208000043942,675.568999937937,765.360999901178,710.111000068441,759.944000226936
hsa-let-7b-3p,711.832999830436,672.693999960439,741.903000001554,761.624999990862,672.693999960439,469.777999873594,586.305999798122,712.972000145453,589.139000042886
hsa-let-7b-5p,674.583000193323,682.527999961205,456.250000109188,515.138999955305,752.458000059494,834.917000220634,748.625000011215,885.180999714428,743.860999917793
hsa-let-7c*,702.6669998508,814.860999776085,824.166999759109,876.360999747421,696.792000022463,945.958000053911,787.693999845448,802.708000149735,787.693999845448
hsa-let-7d-3p,3386.15300908824,2666.73599348541,2184.16699595873,2311.51400778389,2404.88899800668,2261.33299814947,1849.09699700078,2666.73599348541,1849.09699700078
hsa-let-7d-5p,623.902999855091,642.444000011191,572.652999941215,597.278000150373,466.486000036256,585.681000121004,645.903000069429,616.056000073302,642.444000011191
hsa-let-7e-3p,1036.54200046858,995.471999939689,1050.38900164991,1118.34699937281,1152.09699740103,909.193999839752,1159.27800228451,1331.86100211791,1159.27800228451
hsa-let-7e-5p,546.068999998198,498.76399991556,496.83299988195,568.861000062611,502.597000147508,544.360999847498,427.361000092655,522.528000078173,434.653000004079
hsa-let-7f-1-3p,740.277999912405,640.082999880522,594.930999850335,658.125000039651,2061.43100434281,1264.2079963556,2352.51399472382,2796.88899332478,2311.51400778389
hsa-let-7f-2-3p,629.167000122028,555.347000112662,584.25000008795,558.569000179515,1849.09699700078,1458.0969970659,1500.22200161133,1622.31899744282,1500.22200161133
hsa-let-7f-5p,578.291999992257,589.139000042886,579.375000195618,546.068999998198,812.013999986955,763.318999946071,705.263999800144,739.02799977479,706.81899986882
hsa-let-7g-3p,2352.51399472382,1536.33300149244,1360.40300254903,1442.62500498199,1605.16700401108,1331.86100211791,1396.05600173948,1471.66700144252,1382.81900363182
hsa-let-7g-5p,907.867999970084,770.521000173887,917.222000110719,969.708000089807,1602.3400001333,1004.61799989175,1602.3400001333,828.825999781868,1156.09699678434
hsa-let-7i-3p,576.01400019139,630.65300008592,745.639000180412,675.568999937937,467.153000142798,506.555999922244,473.513999973823,599.930999989344,474.180999908342
hsa-let-7i-5p,1275.06899567401,1360.40300254903,1500.22200161133,1605.16700401108,1442.62500498199,1586.47199593773,2184.16699595873,1442.62500498199,2134.43100025073
hsa-miR-1,920.068999990392,1030.832998122,1127.72199940833,1187.24999929364,1484.86100079683,2061.43100434281,1882.20799789102,1111.23600160437,1882.20799789102
hsa-miR-100-3p,484.236000102006,270.403000086594,438.611000050261,449.485999986742,283.568999932159,485.624999900676,439.555999982556,491.306000113883,443.306000058391
hsa-miR-100-5p,586.972000134471,646.721999922192,585.139000016877,593.610999973811,607.207999897856,362.610999886449,548.069000101434,653.458000096083,551.042000047704
hsa-miR-101-3p,680.194000073011,618.277999870193,310.458000028913,505.861000073587,524.680999950304,510.222000041824,646.721999922192,730.221999764754,643.207999933951
hsa-miR-101-5p,420.194000140085,510.91700005898,566.097000011276,541.069000107768,727.596999842843,283.568999932159,611.624999816414,767.138999987778,605.652999910815
hsa-miR-103a-2-5p,460.993000054089,492.944000013763,539.228999914933,574.000000129033,576.47200009351,550.042000135251,578.103999833039,590.438000174741,836.965000267237
hsa-miR-103a-3p,370.124999954448,487.361000022266,476.680999989639,462.83299997884,754.569000094153,554.596999940434,676.638999949891,624.472000141801,677.653000163326
